name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Talmage Algernon,M,1871–1939,1871,1939,"Oxfordshire, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/algernon-talmage-2020
Tamayo Rufino,M,1899–1991,1899,1991,"Oaxaca, México",Unknown,http://www.tate.org.uk/art/artists/rufino-tamayo-2021
Tan Fiona,F,born 1966,1966,1955,"Pakanbaru, Indonesia",Unknown,http://www.tate.org.uk/art/artists/fiona-tan-7376
Tanabe Takao,M,born 1926,1926,1955,"British Columbia, Canada",Unknown,http://www.tate.org.uk/art/artists/takao-tanabe-2022
Tanavoli Parviz,M,born 1937,1937,1955,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/parviz-tanavoli-15957
Tanguy Yves,M,1900–1955,1900,1955,"Paris, France","Woodbury, United States",http://www.tate.org.uk/art/artists/yves-tanguy-2023
Tanning Dorothea,F,1910–2012,1910,2012,"Galesburg, United States","New York, United States",http://www.tate.org.uk/art/artists/dorothea-tanning-2024
Tapies Antoni,M,1923–2012,1923,2012,"Barcelona, España","Barcelona, España",http://www.tate.org.uk/art/artists/antoni-tapies-2025
Taslitzky Boris,M,1911–2005,1911,2005,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/boris-taslitzky-2663
Tassaert Philippe Joseph,M,1732–1803,1732,1803,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/philippe-joseph-tassaert-2459
